valve_id,valve_name,operation_type,operation_date,operator,pressure_before,pressure_after,material,location,remark,source_file,batch_id,row_number,status,exception_types,exception_reasons
V-001,主进水阀,开启,2024-06-01 08:30:00,张三,0.35,0.38,铸铁,一号水厂,正常巡检开启,compliant_sample.csv,FINAL_ACCEPTANCE,2,PASSED,,
V-002,一号出水阀,关闭,2024-06-01 09:15:00,李四,0.4,0.0,球墨铸铁,一号水厂,维修关闭,compliant_sample.csv,FINAL_ACCEPTANCE,3,PASSED,,
V-003,二号出水阀,开启,2024-06-02 10:00:00,王五,0.3,0.33,铸铁,二号水厂,日常操作,compliant_sample.csv,FINAL_ACCEPTANCE,4,PASSED,,
V-004,环路阀,开启,2024-06-02 14:20:00,赵六,0.28,0.31,球墨铸铁,东环路,管网调配,compliant_sample.csv,FINAL_ACCEPTANCE,5,PASSED,,
V-005,减压阀前阀,关闭,2024-06-03 08:00:00,张三,0.5,0.05,铸钢,减压站一号,定期检修,compliant_sample.csv,FINAL_ACCEPTANCE,6,PASSED,,
V-003,二号出水阀,开启,2024-06-06 09:30:00,王五,0.3,0.32,铸铁,二号水厂,正常操作,over_threshold_sample.csv,FINAL_ACCEPTANCE,5,PASSED,,
V-202,南区阀A,关闭,2024-06-10 10:00:00,郑十,0.4,0.0,球墨铸铁,南区管网,正常,missing_material_sample.csv,FINAL_ACCEPTANCE,3,PASSED,,
V-204,东区主阀,关闭,2024-06-11 16:00:00,陈七,0.38,0.05,铸铁,东区管网,有材料,missing_material_sample.csv,FINAL_ACCEPTANCE,5,PASSED,,
V-901,正常阀,开启,2024-06-20 08:00:00,张三,0.3,0.33,铸铁,测试区,正常数据,bad_rows_sample.csv,FINAL_ACCEPTANCE,2,PASSED,,
V-904,压力正常阀,关闭,2024-06-20 10:30:00,赵六,0.0,0.05,铸钢,测试区,压力非数字（能读但为0）,bad_rows_sample.csv,FINAL_ACCEPTANCE,5,PASSED,,
