sampleId,name,boxId,position,operator,storeDate,status
S001,血清样本-001,BOX-A,A1,张三,2024-01-15,stored
S002,血清样本-002,BOX-A,A1,李四,2024-01-16,stored
S003,组织样本-003,BOX-A,A2,王五,2024-01-17,stored
S004,血浆样本-004,BOX-A,B1,赵六,2024-01-18,stored
S005,尿液样本-005,BOX-A,B2,张三,2024-01-19,stored
S006,细胞样本-006,BOX-B,A1,李四,2024-01-20,stored
S007,DNA样本-007,BOX-B,A2,王五,2024-01-21,stored
S008,RNA样本-008,BOX-B,B1,赵六,2024-01-22,stored
S009,蛋白质样本-009,BOX-B,B2,张三,2024-01-23,stored
,空白样本,BOX-B,C1,李四,2024-01-24,stored
S011,质控样本-011,BOX-A,Z9,王五,2024-01-25,stored
